"Consumer prices - all items","Australia","2008","110.5652"
"Consumer prices - all items","Australia","2009","112.5776"
"Consumer prices - all items","Australia","2010","115.7806"
"Consumer prices - all items","Austria","2008","106.9744"
"Consumer prices - all items","Austria","2009","107.516"
"Consumer prices - all items","Austria","2010","109.4659"
"Consumer prices - all items","Belgium","2008","108.2996"
"Consumer prices - all items","Belgium","2009","108.2421"
"Consumer prices - all items","Belgium","2010","110.6111"
"Consumer prices - all items","Canada","2008","106.6526"
"Consumer prices - all items","Canada","2009","106.972"
"Consumer prices - all items","Canada","2010","108.8728"
"Consumer prices - all items","Czech Republic","2008","112.2994"
"Consumer prices - all items","Czech Republic","2009","113.4597"
"Consumer prices - all items","Czech Republic","2010","115.1209"
"Consumer prices - all items","Denmark","2008","107.1596"
"Consumer prices - all items","Denmark","2009","108.5809"
"Consumer prices - all items","Denmark","2010","111.0758"
"Consumer prices - all items","Finland","2008","108.35"
"Consumer prices - all items","Finland","2009","108.35"
"Consumer prices - all items","Finland","2010","109.633"
"Consumer prices - all items","France","2008","106.1007"
"Consumer prices - all items","France","2009","106.1942"
"Consumer prices - all items","France","2010","107.8186"
"Consumer prices - all items","Germany","2008","106.6"
"Consumer prices - all items","Germany","2009","107.0"
"Consumer prices - all items","Germany","2010","108.2"
"Consumer prices - all items","Greece","2008","110.5931"
"Consumer prices - all items","Greece","2009","111.9313"
"Consumer prices - all items","Greece","2010","117.2066"
"Consumer prices - all items","Hungary","2008","118.9817"
"Consumer prices - all items","Hungary","2009","123.9929"
"Consumer prices - all items","Hungary","2010","130.0491"
"Consumer prices - all items","Iceland","2008","126.2592"
"Consumer prices - all items","Iceland","2009","141.4547"
"Consumer prices - all items","Iceland","2010","149.088"
"Consumer prices - all items","Ireland","2008","113.4736"
"Consumer prices - all items","Ireland","2009","108.3901"
"Consumer prices - all items","Ireland","2010","107.3645"
"Consumer prices - all items","Italy","2008","107.4392"
"Consumer prices - all items","Italy","2009","108.2716"
"Consumer prices - all items","Italy","2010","109.9233"
"Consumer prices - all items","Japan","2008","101.6763"
"Consumer prices - all items","Japan","2009","100.3071"
"Consumer prices - all items","Japan","2010","99.58506"
"Consumer prices - all items","Korea","2008","109.7"
"Consumer prices - all items","Korea","2009","112.8"
"Consumer prices - all items","Korea","2010","116.1"
"Consumer prices - all items","Luxembourg","2008","108.6134"
"Consumer prices - all items","Luxembourg","2009","109.0151"
"Consumer prices - all items","Luxembourg","2010","111.4934"
"Consumer prices - all items","Mexico","2008","113.262"
"Consumer prices - all items","Mexico","2009","119.2618"
"Consumer prices - all items","Mexico","2010","124.2192"
"Consumer prices - all items","Netherlands","2008","105.3569"
"Consumer prices - all items","Netherlands","2009","106.6105"
"Consumer prices - all items","Netherlands","2010","107.9704"
"Consumer prices - all items","New Zealand","2008","110.0109"
"Consumer prices - all items","New Zealand","2009","112.3384"
"Consumer prices - all items","New Zealand","2010","114.9244"
"Consumer prices - all items","Norway","2008","106.9602"
"Consumer prices - all items","Norway","2009","109.2779"
"Consumer prices - all items","Norway","2010","111.8998"
"Consumer prices - all items","Poland","2008","108.0972"
"Consumer prices - all items","Poland","2009","112.1999"
"Consumer prices - all items","Poland","2010","115.0955"
"Consumer prices - all items","Portugal","2008","108.3369"
"Consumer prices - all items","Portugal","2009","107.4431"
"Consumer prices - all items","Portugal","2010","108.9328"
"Consumer prices - all items","Slovak Republic","2008","112.3004"
"Consumer prices - all items","Slovak Republic","2009","114.1142"
"Consumer prices - all items","Slovak Republic","2010","115.2063"
"Consumer prices - all items","Spain","2008","110.7361"
"Consumer prices - all items","Spain","2009","110.4172"
"Consumer prices - all items","Spain","2010","112.4048"
"Consumer prices - all items","Sweden","2008","107.1633"
"Consumer prices - all items","Sweden","2009","106.6335"
"Consumer prices - all items","Sweden","2010","107.8683"
"Consumer prices - all items","Switzerland","2008","104.2693"
"Consumer prices - all items","Switzerland","2009","103.7683"
"Consumer prices - all items","Switzerland","2010","104.4825"
"Consumer prices - all items","Turkey","2008","131.6425"
"Consumer prices - all items","Turkey","2009","139.8715"
"Consumer prices - all items","Turkey","2010","151.8535"
"Consumer prices - all items","United Kingdom","2008","108.4924"
"Consumer prices - all items","United Kingdom","2009","110.8426"
"Consumer prices - all items","United Kingdom","2010","114.4845"
"Consumer prices - all items","United States","2008","110.2466"
"Consumer prices - all items","United States","2009","109.8547"
"Consumer prices - all items","United States","2010","111.6563"
"Consumer prices - all items","G7","2008","108.0362"
"Consumer prices - all items","G7","2009","107.916"
"Consumer prices - all items","G7","2010","109.4296"
"Consumer prices - all items","OECD - Europe","2008","109.438"
"Consumer prices - all items","OECD - Europe","2009","110.7542"
"Consumer prices - all items","OECD - Europe","2010","113.4111"
"Consumer prices - all items","OECD - Total","2008","109.0957"
"Consumer prices - all items","OECD - Total","2009","109.6858"
"Consumer prices - all items","OECD - Total","2010","111.7448"
"Consumer prices - all items","Brazil","2008","114.1088"
"Consumer prices - all items","Brazil","2009","119.6864"
"Consumer prices - all items","Brazil","2010","125.7171"
"Consumer prices - all items","Chile","2008","117.3585"
"Consumer prices - all items","Chile","2009","117.7728"
"Consumer prices - all items","Chile","2010","119.4344"
"Consumer prices - all items","China","2008","112.5751"
"Consumer prices - all items","China","2009","111.8014"
"Consumer prices - all items","China","2010","115.5171"
"Consumer prices - all items","Estonia","2008","122.8685"
"Consumer prices - all items","Estonia","2009","122.7722"
"Consumer prices - all items","Estonia","2010","126.421"
"Consumer prices - all items","India","2008","121.935"
"Consumer prices - all items","India","2009","135.2044"
"Consumer prices - all items","India","2010","151.4145"
"Consumer prices - all items","Indonesia","2008","132.6616"
"Consumer prices - all items","Indonesia","2009","138.4816"
"Consumer prices - all items","Indonesia","2010","145.5916"
"Consumer prices - all items","Israel","2008","107.3232"
"Consumer prices - all items","Israel","2009","110.8917"
"Consumer prices - all items","Israel","2010","113.8789"
"Consumer prices - all items","Russian Federation","2008","136.4247"
"Consumer prices - all items","Russian Federation","2009","152.3237"
"Consumer prices - all items","Russian Federation","2010","162.7701"
"Consumer prices - all items","Slovenia","2008","112.1584"
"Consumer prices - all items","Slovenia","2009","113.1201"
"Consumer prices - all items","Slovenia","2010","115.2035"
"Consumer prices - all items","South Africa","2008","120.6661"
"Consumer prices - all items","South Africa","2009","129.3842"
"Consumer prices - all items","South Africa","2010","134.6533"
"Consumer prices - food","Australia","2008","116.2823"
"Consumer prices - food","Australia","2009","120.1759"
"Consumer prices - food","Australia","2010","121.6495"
"Consumer prices - food","Austria","2008","112.7895"
"Consumer prices - food","Austria","2009","113.0228"
"Consumer prices - food","Austria","2010","113.5644"
"Consumer prices - food","Belgium","2008","112.0832"
"Consumer prices - food","Belgium","2009","113.2702"
"Consumer prices - food","Belgium","2010","115.0099"
"Consumer prices - food","Canada","2008","109.0902"
"Consumer prices - food","Canada","2009","115.0635"
"Consumer prices - food","Canada","2010","116.1525"
"Consumer prices - food","Czech Republic","2008","114.2468"
